Frequency,Height
1e-06,79000.0
100775.194,79105.61865273
201550.388,79411.74627101
302325.581,79804.34397074
403100.775,80361.4946303
503875.969,80932.75990208
604651.163,81767.82506803
705426.357,83034.92023057
806201.55,84309.79290135
906976.744,85570.55179657
1007751.94,86883.73080637
1108527.13,87978.94642749
1209302.33,89364.22361045
1310077.52,90866.53904039
1410852.71,92695.99843109
1511627.91,94901.78115401
1612403.1,97467.71216507
1713178.29,100582.21739238
1813953.49,103747.68314883
1914728.68,107181.04633271
2015503.88,110985.32248069
2116279.07,115228.77427054
2217054.26,119792.14928
2317829.46,124766.09157501
2418604.65,131468.16429955
2519379.84,139480.77872889
2620155.04,162554.2132516
2720930.23,194582.00033883
2821705.43,213922.45334866
2922480.62,229094.99152826
3023255.81,232560.84599884
3124031.01,231051.62557358
3224806.2,230047.82991357
3325581.4,229056.00831223
3426356.59,228429.97232507
3527131.78,228355.01505769
3627906.98,227902.34549348
3728682.17,227888.02845391
3829457.36,226962.64658551
3930232.56,226386.21963094
4031007.75,224725.55288027
4131782.95,223435.8215408
4232558.14,222054.62640011
4333333.33,221184.86944112
4434108.53,221333.89913294
4534883.72,221962.0156666
4635658.91,222863.22545614
4736434.11,224015.02091592
4837209.3,224662.88906573
4937984.5,225512.55873502
5038759.69,225515.11165151
5139534.88,225798.61401649
5240310.08,226047.97392415
5341085.27,226597.85307559
5441860.47,228084.23997013
5542635.66,229699.07038122
5643410.85,232027.25195021
5744186.05,234327.59911291
5844961.24,235845.65094827
5945736.43,237490.79290606
6046511.63,237899.30673014
6147286.82,238685.57068924
6248062.02,239183.08809513
6348837.21,240025.64919801
6449612.4,241059.55912842
6550387.6,242282.58966565
6651162.79,243459.38937061
6751937.98,244790.45214893
6852713.18,245998.95904195
6953488.37,247367.13111675
7054263.57,248844.05621529
7155038.76,250416.19880538
7255813.95,251649.88395471
7356589.15,253074.44871254
7457364.34,253253.79578653
7558139.53,253951.75453394
7658914.73,253635.95216831
7759689.92,253917.61914093
7860465.12,254764.19471767
7961240.31,255718.38364254
8062015.5,258041.07946929
8162790.7,259992.4792103
8263565.89,262287.46943947
8364341.09,264380.32471136
8465116.28,266004.50390234
8565891.47,267767.41048959
8666666.67,269486.19708011
8767441.86,271292.62289033
8868217.05,272115.99619658
8968992.25,273400.06324584
9069767.44,273200.84074875
9170542.64,273797.47358766
9271317.83,273846.17749573
9372093.02,274423.53796131
9472868.22,275161.09270722
9573643.41,276066.10067367
9674418.6,276754.80491795
9775193.8,277671.08129633
9875968.99,279197.33346514
9976744.19,280573.95917568
10077519.4,283664.63503469
10178294.6,285982.79632696
10279069.8,288543.95041258
10379845.0,290835.15687695
10480620.2,290995.37314974
10581395.3,292112.38509616
10682170.5,291799.84885386
10782945.7,292416.13368127
10883720.9,292910.28487335
10984496.1,293744.99613769
11085271.3,294294.01725763
11186046.5,295156.69907123
11286821.7,296306.7159066
11387596.9,297454.21013209
11488372.1,301005.01894778
11589147.3,303373.39188872
11689922.5,308560.60023812
11790697.7,312065.89851796
11891472.9,316350.58519469
11992248.1,319860.32605518
12093023.3,322768.92793956
12193798.4,325772.08436622
12294573.6,330224.59433604
12395348.8,333836.88808738
12496124.0,341008.44598434
12596899.2,346032.92778273
12697674.4,354636.59433975
12798449.6,360799.52452939
12899224.8,377799.80528705
13000000.0,388108.05038796
